seq,date,state,defCnt
482,2020년 03월 28일 00시,검역,168
481,2020년 03월 28일 00시,제주,8
480,2020년 03월 28일 00시,경남,91
478,2020년 03월 28일 00시,전남,8
477,2020년 03월 28일 00시,전북,10
476,2020년 03월 28일 00시,충남,126
475,2020년 03월 28일 00시,충북,41
474,2020년 03월 28일 00시,강원,32
473,2020년 03월 28일 00시,경기,433
472,2020년 03월 28일 00시,세종,44
471,2020년 03월 28일 00시,울산,39
470,2020년 03월 28일 00시,대전,31
469,2020년 03월 28일 00시,광주,20
468,2020년 03월 28일 00시,인천,51
467,2020년 03월 28일 00시,대구,6587
466,2020년 03월 28일 00시,부산,114
465,2020년 03월 28일 00시,서울,390
464,2020년 03월 28일 00시,합계,9478
501,2020년 03월 29일 00시,검역,189
500,2020년 03월 29일 00시,제주,8
499,2020년 03월 29일 00시,경남,94
497,2020년 03월 29일 00시,전남,9
496,2020년 03월 29일 00시,전북,12
495,2020년 03월 29일 00시,충남,127
494,2020년 03월 29일 00시,충북,41
493,2020년 03월 29일 00시,강원,34
492,2020년 03월 29일 00시,경기,448
491,2020년 03월 29일 00시,세종,46
490,2020년 03월 29일 00시,울산,39
489,2020년 03월 29일 00시,대전,34
488,2020년 03월 29일 00시,광주,20
487,2020년 03월 29일 00시,인천,58
486,2020년 03월 29일 00시,대구,6610
485,2020년 03월 29일 00시,부산,117
484,2020년 03월 29일 00시,서울,410
483,2020년 03월 29일 00시,합계,9583
725,2020년 03월 30일 00시,검역,202
724,2020년 03월 30일 00시,제주,9
723,2020년 03월 30일 00시,경남,95
721,2020년 03월 30일 00시,전남,9
720,2020년 03월 30일 00시,전북,13
719,2020년 03월 30일 00시,충남,127
718,2020년 03월 30일 00시,충북,44
717,2020년 03월 30일 00시,강원,36
716,2020년 03월 30일 00시,경기,463
715,2020년 03월 30일 00시,세종,46
714,2020년 03월 30일 00시,울산,39
713,2020년 03월 30일 00시,대전,34
712,2020년 03월 30일 00시,광주,20
711,2020년 03월 30일 00시,인천,58
710,2020년 03월 30일 00시,대구,6624
709,2020년 03월 30일 00시,부산,118
708,2020년 03월 30일 00시,서울,426
707,2020년 03월 30일 00시,합계,9661
744,2020년 03월 31일 00시,검역,217
743,2020년 03월 31일 00시,제주,9
742,2020년 03월 31일 00시,경남,96
740,2020년 03월 31일 00시,전남,9
739,2020년 03월 31일 00시,전북,13
738,2020년 03월 31일 00시,충남,128
737,2020년 03월 31일 00시,충북,44
736,2020년 03월 31일 00시,강원,36
735,2020년 03월 31일 00시,경기,476
734,2020년 03월 31일 00시,세종,46
733,2020년 03월 31일 00시,울산,39
732,2020년 03월 31일 00시,대전,36
731,2020년 03월 31일 00시,광주,20
730,2020년 03월 31일 00시,인천,64
729,2020년 03월 31일 00시,대구,6684
728,2020년 03월 31일 00시,부산,119
727,2020년 03월 31일 00시,서울,450
726,2020년 03월 31일 00시,합계,9786
763,2020년 04월 01일 00시,검역,224
762,2020년 04월 01일 00시,제주,9
761,2020년 04월 01일 00시,경남,100
759,2020년 04월 01일 00시,전남,12
758,2020년 04월 01일 00시,전북,14
757,2020년 04월 01일 00시,충남,131
756,2020년 04월 01일 00시,충북,44
755,2020년 04월 01일 00시,강원,38
754,2020년 04월 01일 00시,경기,499
753,2020년 04월 01일 00시,세종,46
752,2020년 04월 01일 00시,울산,39
751,2020년 04월 01일 00시,대전,36
750,2020년 04월 01일 00시,광주,24
749,2020년 04월 01일 00시,인천,69
